色	いろ	color
上げる	あげる	[tran] to raise; to give; to do for; to elevate; to increase (price); to develop (skill)
学生	がくせい	student
仕事	しごと	work; job
万	まん	ten thousand
金	かね	money; metal
音楽	おんがく	music
多い	おおい	many; numerous
話す	はなす	to talk; to speak; to converse; to chat
九	きゅう,く	nine
方	かた	person (honorific); way of doing something; direction
置く	おく	[tran] to put; to place; to leave (behind)
風	かぜ	wind; breeze; draught; draft​
売る	うる	[tran] to sell
大学	だいがく	university; college
先生	せんせい	teacher; term of address for teacher, doctor, lawyer, writer etc.
今日	きょう	today
その	その	that (thing)
困る	こまる	to be at a loss; to be in a jam; to be in trouble
練習	れんしゅう	practice
文章	ぶんしょう	writing; composition; essay; article; prose; (writing) style​
sentence
病院	びょういん	hospital
悪い	わるい	bad; poor; inferior; at fault
答える	こたえる	[int] to answer; to reply
寝る	ねる	[int] to sleep; to go to bed
教える	おしえる	[tran] to teach; to instruct; to tell; to inform; to preach
忘れる	わすれる	to forget; to be forgetful of
終わる	おわる	to finish; to end; to close (intransitive, preceded by the が particle)
友達	ともだち	friend; companion
近い	ちかい	near; close; short (distance)
覚える	おぼえる	[tran] to memorize; to remember; to commit to memory; to learn by heart; to keep in mind
取る	とる	[tran] to take; to pick up; to harvest; to choose; to steal; to take off (glasses)
結構	けっこう	wonderful; quite; good enough
外国	がいこく	foreign country
家庭	かてい	family; household; home
なる	なる	to become
店	みせ	shop; store
午後	ごご	afternoon; p.m.
開く	ひらく	to open (doors, business, eyes, etc.); to be open; be available; to be empty
問題	もんだい	problem; question
住む	すむ	[int] to live; reside
夏	なつ	summer
海	うみ	sea; ocean
起きる	おきる	[int] to get up; to get out of bed; to wake up; to occur/take place (negative event)
映画	えいが	movie
働く	はたらく	[int] to work; to labor
長い	ながい	long (distance)
long (time); lengthy
バス	バス	bus
走る	はしる	[int] to run; to drive/travel (vehicles)
授業	じゅぎょう	class; lesson; classwork
大変	たいへん	very; hard; awful; serious
昨日	きのう, さくじつ	yesterday
自分	じぶん	self; oneself
子供	こども	child
先	さき	ahead; first; previous; before
後	あと	after; back; behind; more (minutes, points); the rest
一番	いちばん	most; best
呼ぶ	よぶ	to call; to name; to invite
会社	かいしゃ	company; corporation
誰	だれ	who; whom
町	まち	town; block; city quarter
車	くるま	car
声	こえ	voice
死ぬ	しぬ	[int] to die; to pass away; to lose spirit/vigor
写真	しゃしん	photograph
しかし	しかし	however; but
家族	かぞく	family; members of a family; household
若い	わかい	young; youthful
immature; green
low (number); small
結婚	けっこん	marriage; get married
違う	ちがう	to differ; to vary; to not match the correct (answer)
言う	いう	[tran] to say; to utter; to declare; to make a noise
立つ	たつ	[int] to stand; to rise
全部	ぜんぶ	all; entire; whole; altogether; total
wholly; all in all
乗る	のる	to ride; board
手	て	hand
足	あし	leg; foot
勉強	べんきょう	study; diligence
ニュース	ニュース	news
新しい	あたらしい	new
皆さん	みなさん	everybody; ladies and gentlemen
料理	りょうり	cooking; cookery; cuisine
花	はな	flower; blossom
難しい	むずかしい	difficult
生まれる	うまれる	to be born
スポーツ	スポーツ	sport
体	からだ	body; physique; health
小さい	ちいさい	small; little; tiny
駅	えき	station
会う	あう	to meet
銀行	ぎんこう	bank
同じ	おなじ	same; identical
安い	やすい	inexpensive; cheap; quiet; calm/peaceful
帰る	かえる	to return (home); to go back
一緒	いっしょ	together; same (colloquial)
小さな	ちいさな	small; little; tiny
どれ	どれ	which? (between three or more choices)
頭	あたま	head
所	ところ	place
次	つぎ	next
持つ	もつ	[tran] to hold; to possess
部屋	へや	room; chamber​
apartment; flat; pad​
山	やま	mountain
強い	つよい	strong
近く	ちかく	near; close to; shortly; soon
待つ	まつ	to wait; to await; to look forward to
下	した	under; below
目	め	eye
出る	でる	[int] to exit; to leave; to go out
やる	やる	do; give; send; run (a store); perform
どちら	どちら	which (between two); which way
口	くち	mouth; opening
外	そと	outside; exterior
意味	いみ	meaning; significance
旅行	りょこう	travel; trip
歩く	あるく	[int] to walk; to go on foot
ホテル	ホテル	hotel
初めて	はじめて	for the first time
見せる	みせる	to show; to display
欲しい	ほしい	want; desire
知る	しる	[tran] to be aware of; to know; to be conscious of; to comprehend
使う	つかう	[tran] to use; to employ; to put to use
来る	くる	to come; to arrive
男	おとこ	man; male
物	もの	thing; object; article; stuff; substance​ (tangible)
道	みち	road; street
女	おんな	woman; girl
面白い	おもしろい	interesting; amusing
聞く	きく	to hear; to listen; to ask
話	はなし	talk; conversation; story
夜	よる,よ	night; evening
入る	はいる	[int] to enter; to go into; to join; to enroll; to contain
始まる	はじまる	[int] to begin/start/commence
新聞	しんぶん	newspaper
高い	たかい	high; tall; expensive
一日	ついたち	first day of the month; (arch) first ten days of the lunar month
大切	たいせつ	important; valuable
人	ひと	person
英語	えいご	English language
本	ほん	book; volume; counter for long things
買う	かう	[tran] to buy; to purchase
七	なな,しち	seven
これ	これ	this
良い	いい,よい	good
ある	ある	exist; possess; there is/are (inanimate objects)
私	わたし,わたくし	I; me
質問	しつもん	question
言葉	ことば	word; language
時間	じかん	time; hour(s)
他	タ,ほか	other; other things
何	なに,なん	what; which; how many
上	うえ	up; above; top; on
早い	はやい	early
木	き	tree; wood
家	いえ, うち	house; home
年	とし	year; age
水	みず	water
学校	がっこう	school
なぜ	なぜ	why; for what reason
それ	それ	that
いつ	いつ	when
書く	かく	to write; to compose; to pen; to draw; to paint
する	する	to do
見る	みる	[tran] to see; to look; to try
飲む	のむ	[tran] to drink; to swallow; to take (medicine); to smoke (tobacco)
四	よん,し	four
明日	あした, あす	tomorrow
一人	ひとり	one; one person
中	なか	inside; in
among; within
center; middle
during; while
一	いち	one
十	じゅう	ten
国	くに	country
あまり	あまり	not very (with negative); remainder; leftover; too much (with positive)
読む	よむ	[tran] to read
行く	いく, ゆく	to go; to move/head toward
少ない	すくない	few; little; scarce
二	に	two
今	いま	now
入れる	いれる	[tran] to put in; to insert
八	はち	eight
